KEY,English,한국어,中文简体,中文繁體,Deutsch,Español
,,,,,,
,,,,,,
Flag,Flag-US,Flag-KR,Flag-CHS,Flag-CHT,Flag-DE,Flag-ES
Language,English,한국어,中文简体,中文繁體,Deutsch,Español
Chapter,Chapter,챕터,章节,章節,Kapitel,Capítulo
Stage,Stage,스테이지,关卡,關卡,Stufe,Fase
TapToStart,Tap to start,탭하여 시작하세요,点击开始,觸屏開始,Zum Starten antippen,Toca para comenzar
TapToStart_PC,{0} to start,{0} 를 눌러서 시작하세요.,{0} 开始,{0} 開始,Zum Starten {0},{0} para comenzar
Back,Back,뒤로,返回,返回,Zurück,Volver
Exit,Exit,나가기,退出,退出,Beenden,Salir
Resume,Resume,계속하기,继续,繼續,Fortsetzen,Reanudar
Retry,Retry,다시하기,重试,重試,Erneut versuchen,Reintentar
Loading,Loading,불러오는 중,加载中,加載中,Laden,Cargando
,,,,,,
Chpt1,Chapter 1,제 1장,第一章,第一章,Kapitel 1,Capítulo 1
Chpt2,Chapter 2,제 2장,第二章,第二章,Kapitel 2,Capítulo 2
Chpt3,Chapter 3,제 3장,第三章,第三章,Kapitel 3,Capítulo 3
Chpt4,Chapter 4,제 4장,第四章,第四章,Kapitel 4,Capítulo 4
Chpt5,Chapter 5,제 5장,第五章,第五章,Kapitel 5,Capítulo 5
,,,,,,
Logo,SL_title,SL_title_korean,SL_title_CHS,SL_title_CHT,SL_title,SL_title
,,,,,,
ReallyQuit,Are you sure you want to quit the game?,정말 게임을 종료하시겠습니까?,确认退出游戏吗？,確認退出遊戲嗎？,Möchtest du das Spiel wirklich beenden?,¿Estás seguro de que quieres salir del juego?
FatherMoveTutorial,Press here to move,버튼을 눌러 아빠를 이동해 보세요.,按键移动父亲,按鍵移動父親,Zum Bewegen hier drücken,Pulsa aquí para moverte
FatherMoveTutorial_Keyboard,Press         to move,를 눌러 아빠를 이동해 보세요.,按键移动父亲,按鍵移動父親,Zum Bewegen         drücken,Pulsa         para moverte
FastForwardTutorial,You can fast-forward Sally’s movement,버튼을 눌러 샐리의 시간을 빨리 감을 수 있어요.,按键可快速移动莎莉,按鍵可快速移動莎莉,Du kannst Sallys Bewegungen beschleunigen.,Puedes acelerar la velocidad de Sally
FastForwardTutorial_PC,You can fast-forward Sally’s movement,를 눌러 샐리의 시간을 빨리 감을 수 있어요.,按键可快速移动莎莉,按鍵可快速移動莎莉,Du kannst Sallys Bewegungen beschleunigen.,Puedes acelerar la velocidad de Sally
FastForward3DTutorial,Also you can fast-forward Sally's movement with 3D Touch,혹은 3D 터치로 꾹 눌러서 시간을 빨리 감을 수 있어요.,或长按3D可加速移动,或長按3D可快速移動,Du kannst Sallys Bewegungen außerdem mit 3D Touch beschleunigen.,También puedes acelerar la velocidad de Sally con 3D Touch
FatherMoveTutorial_Joystick_R,Move Father to the right with ,로 아빠를 우측으로 이동해 보세요.,使用      将父亲移至右边,使用      將父親移至右邊,Bewege den Vater nach rechts mit ,Mueve a Papá hacia la derecha con 
FatherMoveTutorial_Joystick_L,Move Father to the left with ,로 아빠를 좌측으로 이동해 보세요.,使用      将父亲移至左边,使用      將父親移至左邊,Bewege den Vater nach links mit ,Mueve a Papá hacia la izquierda con 
,,,,,,
,,,,,,
//OPTIONS,,,,,,
Sound,Sound,소리,声音,聲音,Sound,Sonido
Music,Music,음악,音乐,音樂,Musik,Música
Credit,Credit,크레딧,荣誉,榮譽,Guthaben,Crédito
Lan,Language,언어,语言,語言,Sprache,Idioma
On,On,켬,关,關,Ein,Sí
Off,Off,끔,开,開,Aus,No
Yes,Yes,예,是,是,Ja,Sí
No,No,아니요,否,否,Nein,No
Resolution,Resolution,해상도,画质,畫質,Auflösung,Resolución
ScreenMode,Screen mode,화면 모드,屏幕模式,屏幕模式,Bildschirmmodus,Modo de pantalla
FullScreen,Full Screen,전체 화면,全屏,全屏,Vollbild,Pantalla completa
Window,Window,창 화면,窗口,窗口,Fenster,Ventana
Apply,Apply,적용,应用,應用,Anwenden,Aplicar
Select,Select,선택,选择,選擇,Auswählen,Seleccionar
Control,Control,조작법,操作方法,操作方法,Steuerung,Control
Jump,Jump,점프,跳跃,跳躍,Springen,Saltar
Move,Move,이동,移动,移動,Bewegen,Moverse
FastForward,Fast Forward,빨리 감기,快速,快速,Schneller Vorlauf,Acelerar
,,,,,,
RestoreMsg,Are you sure you want to restore all previously made purchases?,모든 이전 구매품들을 복원하시겠습니까?,是否要复原所有已购买物品？,是否要復原所有已購買物品？,Möchtest du alle vorherigen Einkäufe wiederherstellen?,¿Estás seguro de que quieres restaurar todas las compras realizadas?
RestoreError,Failed to restore purchases,구매 복원에 실패하였습니다,复原失败,復原失敗,Wiederherstellung der Einkäufe fehlgeschlagen,No se pudieron restaurar las compras
RestoreSuccess,Restored purchases,구매 복원에 성공하였습니다,复原成功,復原成功,Wiederhergestellte Einkäufe,Compras restauradas
RestoreAlready,Already restored purchases,구매 복원 할 항목이 없습니다,无可复原的购买目录,無可復原的購買目錄,Bereits wiederhergestellte Einkäufe,Ya se han restaurado las compras
,,,,,,
LikeThis,How do you like Sally's Law so far?,이 게임이 마음에 드시나요?,您对游戏满意吗？,您對遊戲滿意嗎？,Wie gefällt dir Sally‘s Law bisher?,¿Te gusta Sally's Law?
